student_id,first_name,last_name,sex,date_of_birth,grade,status,contract_rate,created,updated
0,Noah,Martin,M,2004-11-30,12,Inactive,80,2021-08-24 12:00:00,2021-09-16 12:00:00
1,Levi,Robinson,M,2009-02-01,11,Inactive,80,2021-08-24 12:00:00,2024-01-21 12:00:00
2,Isabella,Hill,F,2010-05-25,9,Inactive,80,2021-08-24 12:00:00,2025-09-29 12:00:00
3,Leah,Baker,F,2005-08-31,9,Inactive,80,2021-08-24 12:00:00,2022-01-05 12:00:00
4,Emilia,Baker,F,2006-03-23,9,Inactive,80,2021-08-24 12:00:00,2022-01-05 12:00:00
5,Victoria,Wright,F,2009-03-10,9,Inactive,80,2021-08-24 12:00:00,2024-09-10 12:00:00
6,Claire,Williams,F,2004-01-20,12,Inactive,80,2021-08-24 12:00:00,2023-10-02 12:00:00
7,Zoey,Harris,F,2009-08-20,6,Inactive,80,2021-08-24 12:00:00,2022-01-08 12:00:00
8,Samantha,Carter,F,2009-05-30,12,Inactive,80,2021-08-24 12:00:00,2025-09-13 12:00:00
9,Benjamin,Walker,M,2007-04-23,10,Inactive,80,2021-08-24 12:00:00,2023-01-25 12:00:00
10,Henry,Jones,M,2009-01-19,10,Inactive,80,2021-08-24 12:00:00,2024-02-08 12:00:00
11,Genesis,Hill,F,2008-04-18,12,Inactive,80,2021-08-24 12:00:00,2024-09-14 12:00:00
12,Nora,Hernandez,F,2003-11-01,12,Inactive,80,2021-08-24 12:00:00,2021-09-09 12:00:00
13,Evelyn,Ramirez,F,2005-04-17,10,Inactive,80,2021-08-24 12:00:00,2022-01-09 12:00:00
14,Ellie,Moore,F,2004-11-16,12,Inactive,80,2021-08-24 12:00:00,2024-09-28 12:00:00
15,Elias,Green,M,2004-08-22,12,Inactive,80,2021-08-24 12:00:00,2021-09-12 12:00:00
16,Samantha,Johnson,F,2008-10-31,6,Inactive,80,2021-08-24 12:00:00,2022-01-06 12:00:00
17,Asher,Hall,M,2007-04-04,10,Inactive,80,2021-08-24 12:00:00,2022-01-21 12:00:00
18,Chloe,Carter,F,2006-02-25,12,Inactive,80,2021-08-24 12:00:00,2024-01-28 12:00:00
